Nome do filme,Diretor,Ano de lançamento,Língua,Sinopse,Link para a capa,Trailer
2001: Uma Odisseia no Espaço,Stanley Kubrick,1968,en,"Desde a “Aurora do Homem” (a pré-história), um misterioso monólito negro parece emitir sinais de outra civilização, assim interferindo no nosso planeta. Quatro milhões de anos depois, no século XXI, uma equipe de astronautas liderados pelo experiente David Bowman e Frank Poole é enviada ao planeta J",https://image.tmdb.org/t/p/w500/pVCmLuATJ0lQs4Vx1zUJUN0if2A.jpg,https://www.youtube.com/watch?v=7E9CD3Hucws
Por um Punhado de Dólares,Sergio Leone,1964,it,"Joe (Clint Eastwood) é um pistoleiro barra pesada que chega a uma cidade que está em guerra. Quando percebem o potencial de Joe, ambas as partes se interessam por contratá-lo; é quando ele percebe que pode ganhar um dinheiro com a situação aceitando a proposta dos dois lados.  Um pistoleiro misterio",https://image.tmdb.org/t/p/w500/jaF2Pr2JucNk0pALCBDDPOGU9lQ.jpg,https://www.youtube.com/watch?v=kYITXX-LoR4
O Bebê de Rosemary,Roman Polanski,1968,en,Um jovem casal se muda para um apartamento em Nova York para começar uma família. As coisas ficam assustadoras quando Rosemary começa a suspeitar que seu futuro bebê não está seguro ao lado dos seus estranhos vizinhos.,https://image.tmdb.org/t/p/w500/4p8ljwqw0SJjKszU0ZSPTjYFbeR.jpg,https://www.youtube.com/watch?v=2uU8XVnrRxQ
O Poderoso Chefão,Francis Ford Coppola,1972,en,"Em 1945, Don Corleone é o chefe de uma mafiosa família italiana de Nova York. Ele costuma apadrinhar várias pessoas, realizando importantes favores para elas, em troca de favores futuros. Com a chegada das drogas, as famílias começam uma disputa pelo promissor mercado. Quando Corleone se recusa a fa",https://image.tmdb.org/t/p/w500/uP46DujkD3nwcisOjz9a0Xw0Knj.jpg,https://www.youtube.com/watch?v=0v6MO0EB7UY
Guerra nas Estrelas,George Lucas,1977,en,A princesa Leia é mantida refém pelas forças imperiais comandadas por Darth Vader. Luke Skywalker e Han Solo precisam libertá-la e restaurar a liberdade e a justiça na galáxia.,https://image.tmdb.org/t/p/w500/dw7X9YPjjAfIxKHW04V64Bb9TB0.jpg,https://www.youtube.com/watch?v=jVrf_bKTjo4
O Poderoso Chefão: Parte II,Francis Ford Coppola,1974,en,"Após a máfia matar sua família, o jovem Vito foge da sua cidade na Sicília e vai para a América. Vito luta para manter sua família. Ele mata Black Hand Fanucci, que exigia dos comerciantes uma parte dos seus ganhos. Com a morte de Fanucci, o poderio de Vito cresce, mas sua família é o que mais impor",https://image.tmdb.org/t/p/w500/7g6wvsWHxBQujUcSXvZLhdFpDUy.jpg,https://www.youtube.com/watch?v=FLbWXkka9wU
O Exorcista,William Friedkin,1973,en,"Em Georgetown, Washington, uma atriz vai gradativamente tomando consciência que a sua filha de doze anos está tendo um comportamento completamente assustador. Deste modo, ela pede ajuda a um padre, que também um psiquiatra, e este chega a conclusão de que a garota está possuída pelo demônio. Ele sol",https://image.tmdb.org/t/p/w500/bYTMDg3eGFuO7emXbQip02a8zvQ.jpg,https://www.youtube.com/watch?v=a8g3h2JaVE4
O Jovem Frankenstein,Mel Brooks,1974,en,"Chamado ao castelo de seu finado avô na Transilvânia, o jovem Dr. Frankestein logo descobre um manual descrevendo passo a passo como trazer um cadáver de volta à vida. Auxiliado pelo corcunda Igor e pela curvilínea Inga, ele cria um monstro que só deseja ser amado.",https://image.tmdb.org/t/p/w500/7Ae76AbN6p5DdXvUbpCRJ2c5yN2.jpg,https://www.youtube.com/watch?v=ZL9Q_0JtMNA
Top Gun - Ases Indomáveis,Tony Scott,1986,en,"A escola naval de pilotos é onde o melhor dos melhores treinam para refinar suas habilidades de voo de elite. Quando o piloto Maverick é enviado para a escola, sua atitude irresponsável e comportamento arrogante o colocam em desacordo com os outros pilotos, especialmente Iceman. Porém Maverick não e",https://image.tmdb.org/t/p/w500/dDrMtnVgtDeecIgNchb9F8JcO5w.jpg,https://www.youtube.com/watch?v=JAOPq2FF2-A
A Pequena Sereia,John Musker,1989,en,"Ariel é a filha caçula do Rei Tritão, comandante dos sete mares, que está insatisfeita com sua vida. Ela deseja caminhar entre os humanos para conhecê-los melhor, mas sempre é proibida por seu pai, que considera os humanos como sendo ""bárbaros comedores de peixe"". Até que ela se apaixona por um jove",https://image.tmdb.org/t/p/w500/bl0XvEAEJ2mSUzNFuieyu1gvTXs.jpg,https://www.youtube.com/watch?v=sMwqPN37uss
Indiana Jones e os Caçadores da Arca Perdida,Steven Spielberg,1981,en,"Em 1936, o professor e arqueólogo Indiana Jones é contratado pelo governo para encontrar a Arca da Aliança, que segundo as escrituras bíblicas conteria ""Os Dez Mandamentos"" que Deus revelou a Moisés no Monte Horeb. Mas como a lenda diz que o exército que a possuir será invencível, Indiana Jones terá",https://image.tmdb.org/t/p/w500/vPDnnfUAgLz7yWQVCK4gJAKFy0m.jpg,https://www.youtube.com/watch?v=JsxYJs4UyJI
Guerra nas Estrelas: O Império Contra-Ataca,Irvin Kershner,1980,en,"As forças imperais comandadas por Darth Vader lançam um ataque contra os membros da resistência, que são obrigados a fugir. Enquanto isso Luke Skywalker tenta encontrar o Mestre Yoda, que poderá ensiná-lo a dominar a ""Força"" e torná-lo um cavaleiro jedi. No entanto, Darth Vader planeja levá-lo para ",https://image.tmdb.org/t/p/w500/dLGT8b4Ut10z44uYLaip4QiwKta.jpg,https://www.youtube.com/watch?v=4KnAyxgZ3Vo
Indiana Jones e a Última Cruzada,Steven Spielberg,1989,en,"O arqueólogo Indiana Jones tem acesso à um misterioso envelope que contém informações sobre a localização do lendário Santo Graal, o cálice que Jesus Cristo teria utilizado na Última Ceia. Quando seu pai, o professor Henry Jones, é sequestrado pelos nazistas, o aventureiro irá embarcar numa missão p",https://image.tmdb.org/t/p/w500/9H79Cq97WwiY7FB51jPH65sX3hp.jpg,https://www.youtube.com/watch?v=96YggAgcbiA
O Enigma de Outro Mundo,John Carpenter,1982,en,"Na remota Antártida, um grupo de cientistas americanos é perturbado em sua base quando, de um helicóptero, alguém atira em um cão do acampamento. À medida que socorrem o cão baleado, o bicho começa a atacar os cientistas e os outros cachorros e logo eles descobrem que o animal pode assumir a forma d",https://image.tmdb.org/t/p/w500/bazlgJAKWCBF7OllC3JtyJ2DV1n.jpg,https://www.youtube.com/watch?v=NYE078FMFJQ
Guerra nas Estrelas: O Retorno de Jedi,Richard Marquand,1983,en,"O imperador está supervisionando a construção de uma nova Estrela da Morte. Enquanto isso Luke Skywalker liberta Han Solo e a Princesa Leia das mãos de Jaba. Luke só se tornará um cavaleiro jedi quando destruir Darth Vader, que ainda pretende atraí-lo para o lado sombrio da Força.",https://image.tmdb.org/t/p/w500/a4jlKpK1IzTtOtTdAzrgWm8jvmS.jpg,https://www.youtube.com/watch?v=BT-fVW24-q4
Dirty Dancing: Ritmo Quente,Emile Ardolino,1987,en,"Na esperança de curtir sua juventude, uma jovem fica decepcionada ao descobrir que seus pais passarão o verão de 1963 com ela em um resort na sonolenta região de Catskills. Mas sua sorte muda quando ela conhece o instrutor de dança do resort, Johnny, um rapaz com um passado bem diferente do dela. Qu",https://image.tmdb.org/t/p/w500/mUVIRUpqKQa8uKDgyYrQHs6rlbz.jpg,https://www.youtube.com/watch?v=ILH8KT0lbSA
Akira,大友克洋,1988,ja,"Uma grande explosão fez com que Tóquio fosse destruída em 1988. Em seu lugar, foi construída Neo-Tóquio, que, em 2019, sofre com atentados terroristas por toda a cidade. Kaneda e Tetsuo são amigos que integram uma gangue de motoqueiros. Eles disputam rachas violentos com uma gangue rival, os Palhaço",https://image.tmdb.org/t/p/w500/tbwwTQ3EqSdotbQ3ZcIl6vKBv7q.jpg,https://www.youtube.com/watch?v=ooKBenGK3R4
