Nome do filme,Diretor,Avaliação,Número de votos,Sinopse,Gênero,Ano de lançamento,Língua,Link para a capa,Trailer,Duração
Assassinato no Expresso Oriente,Sidney Lumet,7.1,1456,"O detetive Hercule Poirot está a bordo do Expresso do Oriente quando um passageiro é encontrado morto. Amplamente desprezada, a vítima tinha muitos inimigos, e Poirot tem que peneirar um grupo excêntrico de suspeitos para encontrar o assassino.",Drama,1974,en,https://image.tmdb.org/t/p/w500/lzFu9AxTeuAKACHnJjflOQpNRjb.jpg,https://www.youtube.com/watch?v=kjSN6hmg2UY,128
007 Contra o Homem com a Pistola de Ouro,Guy Hamilton,6.4,2103,"Quando uma bala de ouro chega ao quartel-general da inteligência britânica com um ""007"" gravado nela, se acredita que James Bond (Roger Moore) será o próximo alvo de um assassino profissional (Christopher Lee) que cobra um milhão de dólares por serviço. Assim, Bond vai investigar a situação e acaba descobrindo que o objetivo do matador internacional seqüestrar um cientista, que inventou um conversor solar capaz de resolver a crise de energia no planeta.",Aventura,1974,en,https://image.tmdb.org/t/p/w500/rqC546GsvQqNEM4Tmlw6y132Dst.jpg,https://www.youtube.com/watch?v=gF5fr3Zhi7E,125
A Conversação,Francis Ford Coppola,7.5,1845,"O expert em vigilância Harry Caul é contratado por um cliente misterioso para perseguir um jovem casal. Harry Caul, é um expert em vigilância, conhecido nacionalmente por seu profissionalismo. Ele é contratado pelo diretor de uma grande empresa para vigiar e gravar as conversas de um casal de amantes. Porém, no passado um trabalho dele provocou a morte de três pessoas, diante desse novo trabalho ele teme que algo parecido aconteça.",Crime,1974,en,https://image.tmdb.org/t/p/w500/nHa10YW4PTPnYEkfgQpSLDiR8Xe.jpg,https://www.youtube.com/watch?v=iFgiWboUFnw,113
Terra de Ninguém,Terrence Malick,7.472,1232,"Fort Dupree, Dakota do Sul, 1959. Kit Carruthers é um jovem peão psicologicamente desequilibrado, que mata o pai de Holly Sargis, sua namorada de 15 anos, que não aprovava o relacionamento deles. Kit e Holly fogem juntos para Montana, enquanto Carruthers faz mais vítimas, o que faz a polícia ir em seu encalço.",Crime,1974,en,https://image.tmdb.org/t/p/w500/1TwMedZNtCjEGnrsgqewrjeKuEN.jpg,https://www.youtube.com/watch?v=EEVEUtsI1YI,94
Tubarão,Steven Spielberg,7.666,10746,"Um terrível ataque a banhistas é o sinal de que a praia da pequena cidade de Amity virou refeitório de um gigantesco tubarão branco, que começa a se alimentar dos turistas. Embora o prefeito queira esconder os fatos da mídia, o xerife local pede ajuda a um ictiologista e a um pescador veterano para caçar o animal. Mas a missão vai ser mais complicada do que eles imaginavam.",Terror,1975,en,https://image.tmdb.org/t/p/w500/kIgxgZSp8tdvHxWxkNejVasMsCq.jpg,https://www.youtube.com/watch?v=CpMV9YA_4Tk,124
Um Estranho no Ninho,Miloš Forman,8.413,10760,"Randle Patrick McMurphy é um malandro que, após ser preso, se finge de louco para ir a um hospital psiquiátrico e assim esquivar-se a uma porção de trabalhos forçados na prisão. Lá ele começa a influenciar os outros internos e começa a sofrer oposição da cruel e sádica enfermeira Mildred Ratched. Com forte poder persuasivo, McMurphy instaura uma reviravolta na clínica, não sabendo o que isto pode lhe custar.",Drama,1975,en,https://image.tmdb.org/t/p/w500/nqz0NHRmbc57HZdZxi66shMzGKO.jpg,https://www.youtube.com/watch?v=QtXOIfqfegY,133
Um Dia de Cão,Sidney Lumet,7.8,3077,"Quando o inexperiente criminoso Sonny Wortzik lidera um assalto a um banco em Brooklyn, as coisas rapidamente dão errado e uma situação de refém se desenvolve. Sonny e seu cúmplice, Sal Naturile, tentam desesperadamente permanecer em controle, mas a mídia vai à loucura e o FBI chega, criando uma tensão ainda maior. Gradualmente, os verdadeiros motivos para o roubo são revelados.",Crime,1975,en,https://image.tmdb.org/t/p/w500/zuYY9iD3d1sGg3883oET2UN13ZL.jpg,https://www.youtube.com/watch?v=onTIWqGVtCk,125
The Rocky Horror Picture Show,Jim Sharman,7.5,2894,"Um casal de noivos se vê obrigado, em virtude de um problema com o carro, a irem a um estranho castelo pedirem auxílio, sem saberem que ele é habitado por alienígenas de um outro planeta e que o anfitrião, exatamente naquela noite, vai ver uma criatura criada por ele apenas para lhe dar prazer.",Comédia,1975,en,https://image.tmdb.org/t/p/w500/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,https://www.youtube.com/watch?v=LnYBwampG8U,100
Barry Lyndon,Stanley Kubrick,8.0,2921,Um trapaceiro irlandês conquista o coração de uma viúva rica e assume a posição aristocrárica do seu falecido marido na Inglaterra do século 18.,Drama,1975,en,https://image.tmdb.org/t/p/w500/dOJtBSyI30wWc08UmyEKLsu4Rfk.jpg,https://www.youtube.com/watch?v=XjPSGuJskxM,185
O Espelho,Andrei Tarkovsky,7.967,989,"Um homem relembra o passado, entre as coisas que viveu de verdade e a imaginação sobre as coisas que lhe foram contadas e que se confundem com a memória.",Drama,1975,ru,https://image.tmdb.org/t/p/w500/5UGOajJsUnacT6tHgh6loNV5V4g.jpg,https://www.youtube.com/watch?v=S2U9TXmYJ94,107
Três Dias do Condor,Sydney Pollack,7.279,1202,"O agente da C.I.A. Joseph Turner (Robert Redford), codinome Condor, e a equipe a qual faz parte apenas lê livros e imagina possíveis situações que podem ser usadas pela C.I.A. Um dia ele vai comprar comida, mas como chovia sai por uma ""saída secreta"" em vez de sair pela porta da frente. Ao retornar, vê que todos os seus colegas de trabalho tinham sido mortos. Apavorado, pois não é um agente de campo, liga para seu chefe, que diz que logo vão resgatá-lo. Porém na hora tentam matá-lo, mas Turner escapa ileso. Sem saber o que fazer, acaba seqüestrando Kathy Hale (Faye Dunaway), uma fotógrafa, e vai para o apartamento dela, pois precisa de um lugar que ninguém da C.I.A. conheça enquanto tenta entender por qual razão querem vê-lo morto.",Thriller,1975,en,https://image.tmdb.org/t/p/w500/soyvonXYpZeuGsz0ZeakBzsyUAo.jpg,https://www.youtube.com/watch?v=8sKGGJVcsbo,117
Prelúdio para Matar,Dario Argento,7.743,1497,"Um pianista inglês testemunha um brutal assassinato, mas não consegue identificar o criminoso. Algo na cena o inquieta, o levando à uma compulsiva necessidade de desvendar o caso.",Terror,1975,it,https://image.tmdb.org/t/p/w500/j6k8qAHnL65p7z6qJnUdxd1bwZ0.jpg,https://www.youtube.com/watch?v=k_ycQ1j548M,127
Rocky: Um Lutador,John G. Avildsen,7.788,8078,"Rocky Balboa, um pequeno boxeador da classe trabalhadora da Filadélfia, é arbitrariamente escolhido para lutar contra o campeão dos pesos pesados, Apollo Creed, quando o adversário do invicto lutador agendado para a luta é ferido. Durante o treinamento com o mal-humorado Mickey Goldmill, Rocky timidamente começa um relacionamento com Adrian, a invisível irmã de Paulie, seu amigo empacotador de carne.",Drama,1976,en,https://image.tmdb.org/t/p/w500/b9B1DXcPNsJfTtc4x2LKA3bykoJ.jpg,https://www.youtube.com/watch?v=-Hk-LYcavrw,119
"Carrie, A Estranha",Brian De Palma,7.315,3966,"A quieta e sensível adolescente Carrie White enfrenta insultos dos colegas na escola e abuso em casa de sua mãe, uma fanática religiosa. Quando estranhos acontecimentos começam a acontecer em torno de Carrie, ela começa a suspeitar que tem poderes sobrenaturais.",Terror,1976,en,https://image.tmdb.org/t/p/w500/bDgI10ARAA8xgeIOtEnQpYeYymA.jpg,https://www.youtube.com/watch?v=j9Mg-GRS46Y,98
Josey Wales: O Fora da Lei,Clint Eastwood,7.426,1177,"Clint interpreta Josey Wales, um fazendeiro cujas terras no Missouri são atacadas por soldados da União, que também matam sua mulher e filho. Buscando vingança, Wales inicia uma solitária e violenta caçada combatendo soldados, bandidos e renegados.",Faroeste,1976,en,https://image.tmdb.org/t/p/w500/7qhPffMpzmXQKcShsnlf0aln1ej.jpg,https://www.youtube.com/watch?v=dCPcoNo_OkM,135
A Profecia,Richard Donner,7.407,2201,"O embaixador americano e a esposa querem muito ter filhos. Quando ela dá à luz um bebê morto e um padre sugere que adotem um recém-nascido saudável e órfão, ele aceita sem contar à mulher. O que ele não sabe é que o bebê é o anticristo.",Terror,1976,en,https://image.tmdb.org/t/p/w500/uHemQhtg5n5jPYMLeFFTPfMsvFE.jpg,https://www.youtube.com/watch?v=sS-sXcx30O4,111
Rede de Intrigas,Sidney Lumet,7.807,1821,"Um locutor de noticiário de uma rede de televisão americana é demitido em razão da baixa audiência do programa. Ele então anuncia que irá cometer suicídio no ar. Por esta razão, os índices de audiência do programa voltam a crescer, ele passa a ser conhecido como o Profeta Louco, e é readmitido. Mas seu comportamento insano faz com que os responsáveis pela sua ascensão decidam detê-lo.",Drama,1976,en,https://image.tmdb.org/t/p/w500/g89b9WXmMX9Ijw752Rm2IDlpmyo.jpg,https://www.youtube.com/watch?v=1cSGvqQHpjs,121
Todos os Homens do Presidente,Alan J. Pakula,7.649,1883,"Em 1972, sem ter a menor noção da gravidade dos fatos, um repórter do Washington Post, inicia uma investigação sobre a invasão de cinco homens na sede do Partido Democrata, que dá origem ao escândalo Watergate e que teve como conseqüência a queda do presidente Richard Nixon.",Drama,1976,en,https://image.tmdb.org/t/p/w500/90qnmoejjeDjnkWW7T11upffJg6.jpg,https://www.youtube.com/watch?v=DC3YFyah_Yg,138
Salò ou Os 120 Dias de Sodoma,Pier Paolo Pasolini,6.373,2143,"Pasolini parte da obra de Sade e revisita o episódio histórico da República de Salò para apresentar sua visão sobre o poder, a sexualidade, o conformismo e a juventude italiana dos anos 1970, em um filme de quatro partes: Ante-Inferno, Círculo das Manias, Círculo da Merda e uma última, Círculo de Sangue.",Terror,1976,it,https://image.tmdb.org/t/p/w500/jN67gcRGNduYdluMFMlm24j9lxv.jpg,https://www.youtube.com/watch?v=0iJYAycEDII,117
Fuga no Século 23,Michael Anderson,6.582,970,"No século XXIII, os sobreviventes de um Holocausto vivem numa cidade condenada isolada do resto do mundo. Ali, apenas podem viver até os 30 anos por causa do controle populacional e dos recursos escassos. Por isso, têm duas escolhas: ou participam numa cerimônia de exterminação onde lhes é prometido o renascimento ou podem tentar fugir e sobreviver fora da cidade.",Ação,1976,en,https://image.tmdb.org/t/p/w500/v3ILN8ROPcrNRJ8S7GH24JyihH8.jpg,https://www.youtube.com/watch?v=USADM5Gk9Gs,119
Maratona da Morte,John Schlesinger,7.17,1124,"Thomas Levy é Babe, um tranquilo universitário e maratonista que acaba se envolvendo em uma complicada trama mortal com um fugitivo nazista, o qual Doc, seu irmão mais velho e agente do governo, quer pegá-lo. Porém quando Doc é assassinado, Babe se encontra emaranhado com as pedras preciosas roubadas e loucos sádicos, em que até mesmo sua namorada Elsa está envolvida.",Thriller,1976,en,https://image.tmdb.org/t/p/w500/kWBzvVwHosxwLuWft0emzvCr6Ah.jpg,https://www.youtube.com/watch?v=8xaenaYGao0,125
Assalto à 13ª DP,John Carpenter,7.276,1113,"Em uma noite em Los Angeles, membros de gangues cercam uma delegacia de polícia onde um homem que matou um deles se refugiou. Para sobreviver aos repetidos ataques, a polícia e os prisioneiros precisam unir forças.",Thriller,1976,en,https://image.tmdb.org/t/p/w500/bNoa6uYYkT3LThhaI8BZspmMlVM.jpg,https://www.youtube.com/watch?v=7wnAjYDVObs,91
O Inquilino,Roman Polanski,7.6,1155,"Um polonês tenta alugar um apartamento em um estranho edifício francês, mas é visto com desconfiança pelo proprietário. Ao descobrir que a última inquilina do apartamento onde morará se suicidara, ele aos poucos passa a ficar obcecado por sua história.",Thriller,1976,en,https://image.tmdb.org/t/p/w500/shihVzlRBUbDltkRbXkD4fbjHux.jpg,https://www.youtube.com/watch?v=XMpRckM8Ruw,126
007 O Espião Que Me Amava,Lewis Gilbert,6.809,2042,"A Inglaterra descobre que alguém sabe como rastrear um submarino submerso e está oferecendo esta tecnologia para quem pagar mais alto. Uma crise internacional tem início quando um submarino com dezesseis mísseis nucleares desaparece, enquanto fazia uma patrulha. O agente secreto 007 (Roger Moore) é incumbido de investigar o caso e recuperar as ogivas antes que sejam disparadas e, para isto, recebe a ajuda de uma bela e sensual agente soviética (Barbara Bach).",Aventura,1977,en,https://image.tmdb.org/t/p/w500/l7qtdY0f2q14U41wb7Y755RCCEx.jpg,https://www.youtube.com/watch?v=UBxG_TJvYTg,125
Contatos Imediatos do Terceiro Grau,Steven Spielberg,7.348,4331,"Em uma pequena cidade americana vive Roy Neary (Richard Dreyfuss), um chefe de família que, ao pressentir a chegada de alienígenas, tem o seu comportamento alterado. Ele fica obcecado pela idéia e começa a investigar a situação, buscando o local de contato dos ET’s. Como ele, diversas outras pessoas sentem a presença extraterrestre e rumam para o local do pouso da nave.",Ficção científica,1977,en,https://image.tmdb.org/t/p/w500/gXO1HXjuzZ4u1ZB1GuPHIDg5PSR.jpg,https://www.youtube.com/watch?v=o-BIV6QnuTk,137
As Muitas Aventuras do Ursinho Pooh,John Lounsbery,7.245,1073,"Em três deliciosas aventuras, Puff e seus amigos enfrentam uma enchente, se envolvem com um enxame de abelhas e se divertem com um tigre saltador!",Animação,1977,en,https://image.tmdb.org/t/p/w500/drmonezw1z24j1LD5haP56QRIbs.jpg,https://www.youtube.com/watch?v=pj2Gs-T5uhY,74
Suspiria,Dario Argento,7.493,2991,"Susan é uma jovem americana que viaja para a Europa para estudar numa prestigiada escola de Balé. Desde o primeiro dia, porém, ela começa a se assustar com estranhas situações que ocorrem no local que a fazem crer que há bruxas por todas a parte.",Terror,1977,it,https://image.tmdb.org/t/p/w500/VGjaSiprXqmDuONGc7r7QpJ1S9.jpg,https://www.youtube.com/watch?v=hPs2ExUL_bc,99
"Noivo Neurótico, Noiva Nervosa",Woody Allen,7.7,3986,"Alvy Singer (Woody Allen), um humorista judeu e divorciado que faz análise há 15 anos, acaba se apaixonando por Annie Hall (Diane Keaton), uma cantora em início de carreira com uma cabeça um pouco complicada. Em um curto espaço de tempo eles estão morando juntos, mas, depois de um certo período, crises conjugais começam a surgir entre os dois.",Comédia,1977,en,https://image.tmdb.org/t/p/w500/dxoBlLdGcGcY7GttNPbuS3hAd8W.jpg,https://www.youtube.com/watch?v=OqVgCfZX-yE,93
Bernardo e Bianca,Art Stevens,6.78,2547,"A Sociedade de Proteção e Ajuda, formada por camundongos de diversos países, se reúne no prédio da ONU devido à descoberta de uma garrafa que contém uma mensagem de ajuda, enviada pela garota Penny (Michelle Stacy). Bianca (Eva Gabor), uma das representantes da reunião, se oferece para investigar o caso. Para que ela não parta sozinha nesta missão é enviado também Bernardo (Bob Newhart), o porteiro da reunião, que está atraído por Bianca. Juntos eles partem para o orfanato em que Penny morava, para descobrir pistas sobre seu paradeiro atual.",Fantasia,1977,en,https://image.tmdb.org/t/p/w500/zcf9bfXDmKpUHRuPLUM8px9nVHL.jpg,https://www.youtube.com/watch?v=n1uvsKUdHdM,78
Eraserhead,David Lynch,7.354,2532,Ao chegar em casa Henry é avisado por sua vizinha de que foi chamado para um jantar na casa de sua ex namorada. Após uma refeição bizarra com uma família ainda mais estranha Henry é informado que sua ex engravidou dele e teve o filho com poucas semanas de gestação; ele é então obrigado a casar-se e levar a mulher e a criança para viverem em seu apartamento.,Terror,1977,en,https://image.tmdb.org/t/p/w500/mxveW3mGVc0DzLdOmtkZsgd7c3B.jpg,https://www.youtube.com/watch?v=7WAzFWu2tVw,89
Os Embalos de Sábado à Noite,John Badham,6.726,1959,"Tony Manero, um jovem do Brooklyn e um excelente dançarino de disco music, só encontra significado na vida quando dança, pois passar a semana trabalhando em uma loja de tintas não o gratifica de forma nenhuma. Assim ele se perfuma, se veste de um jeito fashion e vai para a discoteca no final de semana. Sob a influência de seu irmão, um padre frustrado, e de Stephanie, sua parceira de dança, começa a questionar a maneira como encara a vida e a limitação de suas perspectivas. Paralelamente Tony vive uma crise amorosa, enquanto se prepara para participar de um concurso em uma discoteca.",Música,1977,en,https://image.tmdb.org/t/p/w500/A3izZZs3rB6qdsAooxCxvSj42aj.jpg,https://www.youtube.com/watch?v=RZTP586-Y9E,118
Grease: Nos Tempos da Brilhantina,Randal Kleiser,7.4,7364,"Na Califórnia de 1959, a boa moça Sandy e o metido Danny se apaixonam e aproveitam um verão inesquecível na praia. Quando voltam às aulas, eles descobrem que frequentam a mesma escola. Danny lidera a gangue dos T-Birds, um grupo que gosta de jaquetas de couro e muito gel no cabelo, e Sandy passa tempo com as Pink Ladies, lideradas pela firme e sarcástica Rizzo. Quando os dois se reúnem, Sandy percebe que Danny não é o mesmo por quem se apaixonou, e ambos precisam mudar caso queiram ficar juntos.",Romance,1978,en,https://image.tmdb.org/t/p/w500/d2ESTux6n1Fd5L4AJDuxMCTsKXT.jpg,https://www.youtube.com/watch?v=THd96gHV7Tg,110
Superman: O Filme,Richard Donner,7.143,3943,"Jor-El, um renomado cientista, prevê a destruição do seu planeta e alerta o governo, que não lhe dá credito. Assim, decide salvar seu filho, mandando-o ao planeta Terra, onde terá superpoderes. Na Terra, ele usa o nome de Clark Kent e, já adulto, trabalha como repórter em um jornal, não demonstra ter superpoderes. Mas quando uma situação inesperada põe em risco a vida de Lois Lane, uma colega de trabalho, ele é obrigado a se revelar para o público, ficando conhecido popularmente como Superman. Descontente com o surgimento de um super-herói na cidade, Lex Luthor, um gênio do mal, o obriga a se desdobrar para evitar a morte de milhões de pessoas.",Ficção científica,1978,en,https://image.tmdb.org/t/p/w500/sm6BLvYCSe4pUpW2UrCKSsS1o0B.jpg,https://www.youtube.com/watch?v=bHw39LmnRJU,143
Halloween - A Noite do Terror,John Carpenter,7.561,5767,"Na noite de Halloween de 1963, Michael Myers, de seis anos, assassina brutalmente sua irmã. Preso em uma instituição para doentes mentais sob os cuidados do dr. Sam Loomis, Michael cresce apenas para odiar. Em outubro de 1978, ele foge do hospital, seguido pelo dr. Loomis, que sabe que Michael vai matar novamente. O psicopata passa a perseguir a adolescente Laurie Strode e seus amigos, e prepara seu ataque mortal para a noite de Halloween.",Terror,1978,en,https://image.tmdb.org/t/p/w500/mVQ8Lb7FhQXPqkQv0QCNbEwp9a6.jpg,https://www.youtube.com/watch?v=7cFHVoIh_KI,91
Despertar dos Mortos,George A. Romero,7.491,2145,"Os mortos estão retornando a vida e atacando os vivos. Quatro sobreviventes do ataque escondem-se em um shopping abandonado e planejam contra-atacar. No entanto, milhares de mortos-vivos descobrem o esconderijo e iniciam um novo massacre, contaminando alguns sobreviventes que retornam como zumbis e somam-se ao exército de abomináveis criaturas.",Terror,1978,en,https://image.tmdb.org/t/p/w500/d2NRnhmydJopoYpiDvfrujYrBMk.jpg,https://www.youtube.com/watch?v=Y_EviQj5tvA,139
O Mestre Invencível,Yuen Woo-ping,7.386,988,"Turbulento e insolente, o jovem Wong Fei Hung é enviado por seu pai para ser aprendiz do mendigo So, um grande mestre de Kung Fu. Por meio de um treinamento exaustivo, o venerável ancião ensina ao jovem uma temível técnica de luta: o Boxe Bêbado, a única maneira de derrotar o implacável assassino que está aterrorizando a região.",Ação,1978,cn,https://image.tmdb.org/t/p/w500/o2KO4o1kJIgz8Zuucx50YwQx281.jpg,https://www.youtube.com/watch?v=KQMNllz6aE0,111
O Franco Atirador,Michael Cimino,7.991,3929,"Um grupo de amigos da classe trabalhadora decide alistar-se no exército durante a Guerra do Vietnam e descobrem que é um caos infernal - não a nobre aventura que imaginavam. Antes de partirem, Steven casou-se com a namorada grávida - e Michael e Nick estavam apaixonados pela mesma mulher. Mas os três são homens diferentes quando regressam.",Drama,1978,en,https://image.tmdb.org/t/p/w500/xjeaIyoZOWnPCX5E1JvzmkNv4QC.jpg,https://www.youtube.com/watch?v=_f5EvTt3Tjk,182
Clube dos Cafajestes,John Landis,6.975,1563,"1962. Larry Kroger (Tom Hulce) e Kent Dorfman (Stephen Furst) são calouros na faculdade e sonham em entrar para uma fraternidade. Após não conseguirem entrar para a Omega eles resolvem tentar a Delta, que tem a fama de ser a pior fraternidade do campus. Lá eles conhecem Eric (Tim Matheson), Boone (Peter Reigert) e sua namorada Katy (Karen Allen), Hoover (James Widdoes) e Bluto (John Belushi). Larry e Kent logo são aceitos na fraternidade e passam a viver uma vida regada a viagens, piadas e festas de pijama. Só que Dean Wormer (John Vernon) está decidido a expulsar a Delta do campus da faculdade, contando com a ajuda dos integrantes da Omega.",Comédia,1978,en,https://image.tmdb.org/t/p/w500/37RHvunfP3uZBujIt8kw1yntejZ.jpg,https://www.youtube.com/watch?v=KWjtI6n5xWM,109
Os Invasores de Corpos,Philip Kaufman,7.2,1179,"Matthew Bennell ouve a amiga reclamar que o marido anda se comportando estranhamente, mas acredita que sejam apenas problemas conjugais. Porém, ele fica preocupado quando outras pessoas começam a fazer as mesmas observações. Sua desconfiança é confirmada quando um escritor e sua esposa encontram um corpo de um mutante. Diante de um inimigo invisível, Matthew deve agir rapidamente antes que toda a cidade seja atingida.",Ficção científica,1978,en,https://image.tmdb.org/t/p/w500/x3hXjVonuaUk9Kb5LvjpRamSFRP.jpg,https://www.youtube.com/watch?v=q9VqUzdEQsk,116
Tubarão 2,Jeannot Szwarc,6.0,1957,"Faz 4 anos desde que o traiçoeiro tubarão branco aterrorizou a tranquila praia de Amity; agora o chefe de polícia Brody encontra-se numa corrida contra o tempo quando um novo e grande tubarão branco ataca veleiros pilotados por adolescentes, incluindo seus dois filhos!",Terror,1978,en,https://image.tmdb.org/t/p/w500/qPO2Aelw74dXF1P8FZsHA0GgKQ1.jpg,https://www.youtube.com/watch?v=2-KIByGsyaI,116
O Expresso da Meia-Noite,Alan Parker,7.479,1747,"Billy Hayes, um estudante americano, ao visitar a Turquia decide traficar alguns pacotes de haxixe, prendendo-os debaixo de suas roupas. Seu plano acaba não dando certo e ele é preso, com sua vida se transformando em um pesadelo a partir de então, pois é brutalmente espancado e jogado em uma imunda prisão. Quando espera ser libertado é levado a um novo julgamento com efeito retroativo, que o condena a uma longa pena.",Drama,1978,en,https://image.tmdb.org/t/p/w500/4feSaOwAhx4wx8so2kCsbX0xgWu.jpg,https://www.youtube.com/watch?v=oepgSoEXWD4,121
Cinzas no Paraíso,Terrence Malick,7.499,1058,"Em 1916, Bill, um trabalhador de Chicago, mata o chefe da usina siderúrgica em que trabalha. Ele foge para o Texas com sua namorada Abby e sua irmã mais nova, Linda. Para evitar fofocas, Bill e Abby fingem ser irmãos e são contratados como parte de um grupo sazonal para trabalhar nos campos de trigo de um rico fazendeiro, o qual descobre estar morrendo de uma doença não identificada. Quando ele apaixona-se por Abby, Bill encoraja sua namorada a casar-se com o fazendeiro para herdar seu dinheiro.",Drama,1978,en,https://image.tmdb.org/t/p/w500/4iCqW5amRFKaA7tVnlbE5rmC6Bh.jpg,https://www.youtube.com/watch?v=DCd2ruD1jTA,94
Alien: O Oitavo Passageiro,Ridley Scott,8.164,15273,"Quando a tripulação da sonda espacial Nostromo responde a um pedido de socorro vindo de um planeta inóspito, eles descobrem uma forma de vida mortal que se reproduz dentro de humanos. Agora, a tripulação deve lutar para permanecer viva e impedir que a criatura chegue até a Terra.",Terror,1979,en,https://image.tmdb.org/t/p/w500/yH05Ft4egz5DYy4SLWYYuVMoGqC.jpg,https://www.youtube.com/watch?v=REYbdLsQXlg,116
Apocalypse Now,Francis Ford Coppola,8.3,8489,"Durante a guerra do Vietnã, o Capitão Willard recebe como missão ir ao Camboja para assassinar um Boina Verde renegado, o Coronel Kurtz. Este vive no meio de uma tribo local e é venerado como um deus. Mas, chegado ao seu destino, o Capitão Willard descobre que a sua missão é bem diferente do que imaginara.",Drama,1979,en,https://image.tmdb.org/t/p/w500/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,https://www.youtube.com/watch?v=FTjG-Aux_yQ,196
Mad Max,George Miller,6.68,4592,"Em um futuro distópico não muito distante, os recursos de óleo foram esgotados e o mundo está mergulhado em guerra, fome e caos financeiro. É quando o policial Mad Max, que não tem mais nada além de seus instintos de sobrevivência e retaliação, começa uma vingança contra a gangue que perseguiu e assassinou sua esposa e filhos.",Aventura,1979,en,https://image.tmdb.org/t/p/w500/trfvD67gEdiuju2avJsC4ikJWgt.jpg,https://www.youtube.com/watch?v=caHnaRq8Qlg,93
Os Selvagens da Noite,Walter Hill,7.668,2208,"Em Nova York, as gangues de delinquentes juvenis se reúnem em uma convenção. O líder do principal grupo prega a união entre eles, pois juntos poderão controlar a cidade (o contingente deles é maior que a força policial). O líder acaba sendo assassinado, com a culpa recaindo sobre um bando da periferia, que nada teve a ver com o atentado. Assim eles se vêem obrigados a atravessar a cidade, enquanto são caçados pelos membros das outras gangues.",Ação,1979,en,https://image.tmdb.org/t/p/w500/2EGQFgs0CrjscXrU3JG7OOMfDGJ.jpg,https://www.youtube.com/watch?v=--gdB-nnQkU,92
A Vida de Brian,Terry Jones,7.759,4561,"A produção é uma sátira aos filmes bíblicos e à intolerância religiosa. Na Palestina do ano 1 d.C., três reis magos trazem presentes à mãe de Brian, confundindo-o com Jesus que nasceu no mesmo dia, na manjedoura ao lado. Brian, depois de crescido, engaja-se em um dos muitos grupos revolucionários que se opõem ao domínio romano. Após tentar seqüestrar a mulher de Pôncio Pilatos com seu grupo, ele é visto como Messias pela uma multidão, ávida por lideranças religiosas.",Comédia,1979,en,https://image.tmdb.org/t/p/w500/2zg9mTQqvf2Qava6KDzISVyZrPr.jpg,https://www.youtube.com/watch?v=GeKzBQnAq5I,94
Stalker,Andrei Tarkovsky,8.117,2288,"Um misterioso acidente deixou um lugar inabitável. Para evitar a aproximação de curiosos o lugar foi isolado e é protegido por soldados o tempo todo, sendo conhecido como A Zona. Existe a promessa de que em algum lugar da Zona há um quarto onde o desejo de qualquer pessoa será realizado, mas o caminho até ele está cheio de armadilhas, e apenas os homens conhecidos como Stalkers são capazes de guiar outros homens até lá.",Ficção científica,1979,ru,https://image.tmdb.org/t/p/w500/8o29afEhpGbRcKYu3v4VZBgPoti.jpg,https://www.youtube.com/watch?v=YuOnfQd-aTw,162
