id,Title,Director,Vote_Average,Genre,Year,Original_Language,Overview,Poster_Url,Trailer,Price
0,Por um Punhado de Dólares,Sergio Leone,7.8,Faroeste,1964,Italiano,"Joe (Clint Eastwood) é um pistoleiro barra pesada que chega a uma cidade que está em guerra. Quando percebem o potencial de Joe, ambas as partes se interessam por contratá-lo; é quando ele percebe que pode ganhar um dinheiro com a situação aceitando a proposta dos dois lados.  Um pistoleiro misterioso (Clint  Eastwood) chega em San Miguel, uma cidade muito rude onde dois grupos rivais de contrabandistas aterrorizavam os cidadãos pobres. Rápido no gatilho, o estranho recebe ofertas de emprego das duas gangues.",https://image.tmdb.org/t/p/w500/jaF2Pr2JucNk0pALCBDDPOGU9lQ.jpg,https://www.youtube.com/watch?v=kYITXX-LoR4,11
1,Os Inocentes,Jack Clayton,7.5,Terror,1961,Inglês,"O filme é baseado na estória de Henry James""Turn of the Screw"", um suspense psicológico sobre uma mulher que trabalha como governanta de dois órfãos. Vivendo em uma casa vitoriana, começa ter visões de fantasmas e suspeita que o comportamento bizarro das crianças é influenciado por poderes sobrenaturais.",https://image.tmdb.org/t/p/w500/qMVa1BhgExBHvKpgIZ0TzZ4xDT4.jpg,https://www.youtube.com/watch?v=kqVtjJ1vGHI,14
2,Jules e Jim - Uma Mulher para Dois,François Truffaut,7.6,Drama,1962,Francês,"Baseado no romance de Henri-Pierre Roché, este clássico da Nouvelle Vague narra um triângulo amoroso animado entre dois amigos, um francês e um alemão, e uma mulher sedutora, objeto de sua mútua obsessão, durante 25 anos.",https://image.tmdb.org/t/p/w500/eBCu1Kk4pNOXd8c0TOu51qePFIQ.jpg,https://www.youtube.com/watch?v=ENsHs_XsgSk,19
3,Robinson Crusoé em Marte,Byron Haskin,6.3,Ficção científica,1964,Inglês,"Preso em Marte com apenas um macaco como companheiro, um astronauta deve descobrir como encontrar oxigênio, água e comida no planeta sem vida.",https://image.tmdb.org/t/p/w500/a3MBNEoquGKZT5UYbq9o509dzTV.jpg,https://www.youtube.com/watch?v=hpu5u6Hiq90,18
4,Luz de Inverno,Ingmar Bergman,7.9,Drama,1963,Sueco,"O pastor da igreja de uma pequena vila começa a sentir sua fé em Deus abalada e a questionar seu trabalho e missão no que faz todos os dias. Um colega que frequenta a Igreja está numa terrível crise existencial pela situação política atual da Guerra Fria temendo a destruição do mundo caso as bombas atômicas sejam usadas, e quando procura o pastor, este, ao contrário de confortá-lo com a palavra de Deus também apresenta todas as suas dúvidas e inseguranças.",https://image.tmdb.org/t/p/w500/jjvQxcX5rqxgVQJbJM74hECgGyP.jpg,https://www.youtube.com/watch?v=Y8HzAu8DAqw,20
5,Através de um Espelho,Ingmar Bergman,7.8,Drama,1961,Sueco,"Harriet Andersson é a frágil Karin. Afetada por crises de loucura, ela entra em conflito com seus familiares durante as férias de verão numa ilha remota. Um drama psicológico intenso em que Bergman disseca o processo de degradação de uma família.",https://image.tmdb.org/t/p/w500/xcnapxRTr0gaF9G2muy94OEIt6H.jpg,https://www.youtube.com/watch?v=yqinY6Q-vbY,12
6,Deus e o Diabo na Terra do Sol,Glauber Rocha,7.1,Aventura,1964,Português,"Manuel vive com a esposa Rosa e a mãe, numa vida muito pobre no sertão brasileiro. Numa discussão com o Coronel que controla sua região o rapaz se revolta e mata o poderoso. Sua única opção é fugir deixando o pouco que tem para trás e seguindo o beato Sebastião que promete a bênção de Deus aos seus fiéis. Manuel pode, sem querer, estar novamente entrando em problemas, pois a oligarquia local encomendou a morte de Sebastião e seus seguidores a João das Mortes, com medo que uma situação como a de Canudos se repita.",https://image.tmdb.org/t/p/w500/vBSTJhHcVq5zffTudQ7jMG9vDwI.jpg,https://www.youtube.com/watch?v=W4IAEu7yiwo,10
7,2001: Uma Odisseia no Espaço,Stanley Kubrick,8.1,Ficção científica,1968,Inglês,"Desde a “Aurora do Homem” (a pré-história), um misterioso monólito negro parece emitir sinais de outra civilização, assim interferindo no nosso planeta. Quatro milhões de anos depois, no século XXI, uma equipe de astronautas liderados pelo experiente David Bowman e Frank Poole é enviada ao planeta Júpiter para investigar o enigmático monólito na nave Discovery, totalmente controlada pelo computador HAL-9000. Entretanto, no meio da viagem, HAL-9000 entra em pane e tenta assumir o controle da nave, eliminando um a um os tripulantes.",https://image.tmdb.org/t/p/w500/pVCmLuATJ0lQs4Vx1zUJUN0if2A.jpg,https://www.youtube.com/watch?v=7E9CD3Hucws,17
8,O Bebê de Rosemary,Roman Polanski,7.8,Drama,1968,Inglês,Um jovem casal se muda para um apartamento em Nova York para começar uma família. As coisas ficam assustadoras quando Rosemary começa a suspeitar que seu futuro bebê não está seguro ao lado dos seus estranhos vizinhos.,https://image.tmdb.org/t/p/w500/4p8ljwqw0SJjKszU0ZSPTjYFbeR.jpg,https://www.youtube.com/watch?v=2uU8XVnrRxQ,16
9,Quando Duas Mulheres Pecam,Ingmar Bergman,8.2,Drama,1966,Sueco,"Uma atriz teatral de sucesso sofre uma crise emocional e para de falar. Uma enfermeira é designada a cuidar dela em uma casa reclusa, perto da praia, onde as duas permanecem sozinhas. Para quebrar o silêncio, a enfermeira começa a falar incessantemente, narrando diversos episódios relevantes de sua vida, mas quando descobre que a atriz usa seus depoimentos como fonte de análise, a cumplicidade entre as duas se transforma em embate.",https://image.tmdb.org/t/p/w500/pMlIFOHnNDa3X0kSpjASn75KAYd.jpg,https://www.youtube.com/watch?v=zLcqDNzFDA0,14
