Nome do filme,Diretor,Avaliação,Número de votos,Sinopse,Gênero,Ano de lançamento,Língua,Link para a capa,Trailer,Duração
Psicose,Alfred Hitchcock,8.423,10350,"Marion Crane é uma secretária que rouba 40 mil dólares da imobiliária onde trabalha para se casar e começar uma nova vida. Durante a fuga à carro, ela enfrenta uma forte tempestade, erra o caminho e chega em um velho hotel. O estabelecimento é administrado por um sujeito atencioso chamado Norman Bates, que nutre um forte respeito e temor por sua mãe. Marion decide passar a noite no local, sem saber o perigo que a cerca.",Terror,1960,en,https://image.tmdb.org/t/p/w500/oC2iYT2on8c2iZnehah1l6AWqGu.jpg,,109
Sete Homens e Um Destino,John Sturges,7.508,1842,"Numa pequena vila dominada por bandidos liderados por Calvera, alguns fazendeiros partem rumo ao norte em busca de armas para detê-los. Lá, eles conhecem o pistoleiro Chris Adams e fazem uma proposta. Relutante, Chris acaba aceitando e reúne mais seis homens para ajudá-lo nessa missão.",Faroeste,1960,en,https://image.tmdb.org/t/p/w500/sJaBbNqyN0k0z0nJ7EIsAZ4L5SG.jpg,,100
Spartacus,Stanley Kubrick,7.54,2220,"Spartacus, um homem que nasceu escravo, labuta para o Império Romano enquanto sonha com o fim da escravidão. Ele foi condenado à morte por morder um guarda em uma mina na Líbia. Mas seu destino foi mudado por um lanista (negociante e treinador de gladiadores), que o comprou para ser treinado nas artes de combate e se tornar um gladiador. Até que um dia, dois poderosos patrícios chegam de Roma, um com a esposa e o outro com a noiva. As mulheres pedem para serem entretidas com dois combates até à morte e Spartacus, é escolhido para enfrentar um gladiador negro, que vence a luta mas se recusa a matar seu opositor, atirando seu tridente contra a tribuna onde estavam os romanos. Este nobre gesto custa a vida do gladiador negro e enfurece Spartacus, de tal maneira que ele acaba liderando uma revolta de escravos, que atinge metade da Itália.",História,1960,en,https://image.tmdb.org/t/p/w500/7Ia2ziy1juSFsl3ZCaaRn15Yo2A.jpg,,197
Se Meu Apartamento Falasse,Billy Wilder,8.199,2415,"Um funcionário ambicioso descobre um atalho para subir na companhia em que trabalha: Ceder seu apartamento para os encontros amorosos de seus chefes. A tática inicialmente dá certo, mas passa a ser ameaçada quando ele se apaixona pela amante de um de seus chefes.",Comédia,1960,en,https://image.tmdb.org/t/p/w500/gF14eduhXX3V1fPXcBGdIeiJ0l4.jpg,,125
Acossado,Jean-Luc Godard,7.52,1866,"Após roubar um carro em Marselha, Michel Poiccard (Jean-Paul Belmondo) ruma para Paris. No caminho mata um policial, que tentou prendê-lo por excesso de velocidade, e em Paris persuade a relutante Patricia Franchisi (Jean Seberg), uma estudante americana com quem se envolveu, para escondê-lo até receber o dinheiro que lhe devem. Michel promete a Patricia que irão juntos para a Itália. No entanto, o crime de Michel está nos jornais e agora não há opção. Ele fica escondido no apartamento de Patricia, onde conversam, namoram, ele fala sobre a morte e ela diz que quer ficar grávida dele. Ele perde a consciência da situação na qual se encontra e anda pela cidade cometendo pequenos delitos, mas quando é visto por um informante começa o final da sua trágica perseguição.",Drama,1960,fr,https://image.tmdb.org/t/p/w500/duTBwrPiJV75xGSzq1Xe68UCrdw.jpg,,90
A Doce Vida,Federico Fellini,8.1,1916,"Roma, início dos anos 60. O jornalista Marcello (Marcello Mastroianni em desempenho memorável) vive entre as celebridades, ricos e fotógrafos que lotam a badalada Via Veneto. Neste mundo marcado pelas aparências e por um vazio existencial, frequenta festas, conhece os tipos mais extravagantes e descobre um novo sentido para a vida.",Comédia,1960,it,https://image.tmdb.org/t/p/w500/l0IgwhbAuYIbBgm8YsHRit1Fa4L.jpg,,176
101 Dálmatas,Hamilton Luske,7.174,6366,"Conta a história de uma família de cachorrinhos da raça dálmata que é raptada por uma terrível mulher chamada Cruella De Vil, que quer transformar os cãezinhos em um casaco de peles. Fascinada por peles, essa mulher tem um sonho e para realiza-lo ela depende de uma ""amiga"" sua, Anita, que tem uma quinzena de filhotes dálmatas.",Aventura,1961,en,https://image.tmdb.org/t/p/w500/117iq8a3s1umK391ZribC7JqNTt.jpg,,79
Bonequinha de Luxo,Blake Edwards,7.644,4252,"O escritor iniciante Paul Varjak se muda para um prédio de apartamentos de Nova York e fica intrigado com sua linda e peculiar vizinha, Holly Golightly. O estilo de vida de Holly confunde e fascina Paul: Em público, ela esvoaça através das festas com um ar sofisticado e sexy, mas quando eles estão sozinhos ela se transforma em um docemente vulnerável pacote de neuroses.",Comédia,1961,en,https://image.tmdb.org/t/p/w500/iBdn6jkwOKnJ02W8pdljYyCkYch.jpg,,115
"Amor, Sublime Amor",Jerome Robbins,7.242,1927,"No lado oeste de Nova York, à sombra dos arranha-céus, ficam os guetos de imigrantes e classes menos favorecidas. Duas gangues, os Sharks, de porto-riquenhos, e os Jets, de brancos de origem anglo-saxônica, disputam a área, seguindo um código próprio de guerra e honra. Tony (Richard Beymer), antigo líder dos Jets, se apaixona por Maria (Natalie Wood), irmã do líder dos Sharks, e tem seu amor correspondido. A paixão dos dois fere princípios em ambos os lados, acirrando ainda mais a disputa.",Crime,1961,en,https://image.tmdb.org/t/p/w500/pGSWoKvUFhPHI3AkOUczJr91t9q.jpg,,152
"Yojimbo, o Guarda-Costas",Akira Kurosawa,8.094,1532,"Um ronin sem nome, ou samurai sem mestre, entra em uma pequena vila no Japão feudal, onde dois empresários rivais lutam pelo controle do comércio local de jogos de azar. Assumindo o nome de Sanjuro Kuwabatake, o ronin convence o comerciante de seda Tazaemon e o comerciante de saquê Tokuemon a contratá-lo como guarda-costas pessoal, e então habilmente desencadeia uma guerra de gangues em grande escala entre os dois homens ambiciosos e inescrupulosos.",Drama,1961,ja,https://image.tmdb.org/t/p/w500/A9XnNGooDNtvx2mzZ8R7pt6UuUP.jpg,,110
Desafio à Corrupção,Robert Rossen,7.7,995,Um jogador de bilhar joga contra um campeão em um único jogo de alto risco.,Drama,1961,en,https://image.tmdb.org/t/p/w500/f5MZDPjzyuDfVQInT2CEtFLZfmO.jpg,,134
